abs_avik=calc,avvik=calc,PowerD=calc,joySide=meas,Ts=calc,Tid=meas,joyForward=meas,TvD=calc,Lys=meas,refferanse=calc,TvA=calc,MAEList=calc,IAEList=calc,PowerA=calc
Lys0=42
,0,6.9140625,-0.78125,0.005,0,13.28125,0,42,42,0,0,0,6.3671875
,0,11.2109375,-0.78125,0.02606606483459473,0.02606606483459473,21.875,4.296875,42,42,4.296875,0,0,10.6640625
,0,11.2109375,-0.78125,0.00513005256652832,0.03119611740112305,21.875,4.296875,42,42,4.296875,0,0,10.6640625
,-1,16.2890625,-0.78125,0.02082395553588867,0.05202007293701172,32.03125,9.375,43,42,9.375,0,0.02082395553588867,15.7421875
,0,17.36328125,-0.78125,0.011224985122680664,0.06324505805969238,34.1796875,10.44921875,42,42,10.44921875,-0.25,0.02082395553588867,16.81640625
,0,17.36328125,-0.78125,0.009010076522827148,0.07225513458251953,34.1796875,10.44921875,42,42,10.44921875,-0.2,0.02082395553588867,16.81640625
,-1,19.8046875,-0.78125,0.01104283332824707,0.0832979679107666,39.0625,12.890625,43,42,12.890625,-0.16666666666666666,0.03186678886413574,19.2578125
,0,19.8046875,-0.78125,0.007200002670288086,0.09049797058105469,39.0625,12.890625,42,42,12.890625,-0.2857142857142857,0.03186678886413574,19.2578125
,-1,22.5390625,-0.78125,0.025537014007568318,0.116034984588623,44.53125,15.625,43,42,15.625,-0.25,0.05740380287170406,21.9921875
,0,22.5390625,-0.78125,0.0060579776763916016,0.1220929622650146,44.53125,15.625,42,42,15.625,-0.3333333333333333,0.05740380287170406,21.9921875
,0,22.5390625,-0.78125,0.0031211376190185963,0.1252140998840332,44.53125,15.625,42,42,15.625,-0.3,0.05740380287170406,21.9921875
,0,22.5390625,-0.78125,0.02196002006530759,0.1471741199493408,44.53125,15.625,42,42,15.625,-0.2727272727272727,0.05740380287170406,21.9921875
,1,22.5390625,-0.78125,0.010317802429199219,0.15749192237854,44.53125,15.625,41,42,15.625,-0.25,0.06772160530090328,21.9921875
,1,22.5390625,-0.78125,0.005549192428588895,0.1630411148071289,44.53125,15.625,41,42,15.625,-0.15384615384615385,0.07327079772949217,21.9921875
,2,22.5390625,-0.78125,0.009500026702880887,0.1725411415100098,44.53125,15.625,40,42,15.625,-0.07142857142857142,0.09227085113525395,21.9921875
,3,22.5390625,-0.78125,0.006639003753662109,0.1791801452636719,44.53125,15.625,39,42,15.625,0.06666666666666667,0.11218786239624028,21.9921875
